modal_title,modal_encoding,modal_delimiter,time_sec,freq_hz,amplitude_db,flag
sample_vibration_3days.csv,UTF-8,",",7.680000000000001,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",26.880000000000003,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",46.08000000000001,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",65.28,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",84.48000000000002,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",103.68000000000002,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",122.88000000000001,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",142.08,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",161.28,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",180.48000000000002,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",199.68,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",218.88000000000002,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",238.08,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",257.28000000000003,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",276.48,0.0,-239.99998493239642,Floor
sample_vibration_3days.csv,UTF-8,",",7.680000000000001,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",26.880000000000003,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",46.08000000000001,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",65.28,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",84.48000000000002,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",103.68000000000002,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",122.88000000000001,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",142.08,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",161.28,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",180.48000000000002,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",199.68,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",218.88000000000002,0.19607843137254902,-124.45878167449168,Floor
sample_vibration_3days.csv,UTF-8,",",238.08,0.19607843137254902,-124.45878167449168,Floor
